Time(min),Cp(ug/mL),Ce_original(ug/mL),Ce_discrete(ug/mL),Ce_exponential(ug/mL),Ce_hybrid(ug/mL),Ce_V2_Original(ug/mL)
0,0.000,0.000,0.000,0.000,0.000,0.000
1,0.196,0.007,0.007,0.000,0.007,0.142
2,0.253,0.022,0.022,0.013,0.022,0.215
3,0.276,0.038,0.038,0.030,0.038,0.255
4,0.290,0.055,0.055,0.046,0.055,0.280
5,0.301,0.071,0.071,0.063,0.071,0.297
6,0.312,0.087,0.087,0.079,0.087,0.310
7,0.322,0.103,0.103,0.095,0.103,0.321
8,0.332,0.118,0.118,0.111,0.118,0.331
9,0.341,0.133,0.133,0.126,0.133,0.340
10,0.349,0.148,0.148,0.140,0.147,0.349
11,0.358,0.162,0.162,0.154,0.161,0.357
12,0.366,0.175,0.175,0.168,0.175,0.365
13,0.373,0.189,0.189,0.182,0.188,0.373
14,0.381,0.202,0.202,0.195,0.201,0.380
15,0.388,0.214,0.214,0.207,0.214,0.387
16,0.394,0.226,0.226,0.220,0.226,0.393
17,0.401,0.238,0.238,0.232,0.237,0.400
18,0.407,0.249,0.249,0.243,0.249,0.406
19,0.413,0.260,0.260,0.254,0.260,0.412
20,0.419,0.271,0.271,0.265,0.270,0.417
21,0.424,0.281,0.281,0.275,0.281,0.423
22,0.429,0.291,0.291,0.286,0.291,0.428
23,0.434,0.301,0.301,0.295,0.300,0.433
24,0.439,0.310,0.310,0.305,0.309,0.438
25,0.444,0.319,0.319,0.314,0.318,0.443
26,0.449,0.328,0.328,0.323,0.327,0.447
27,0.453,0.336,0.336,0.331,0.336,0.452
28,0.457,0.344,0.344,0.340,0.344,0.456
29,0.461,0.352,0.352,0.348,0.352,0.460
30,0.367,0.356,0.356,0.355,0.356,0.464
31,0.342,0.356,0.356,0.356,0.356,0.465
32,0.335,0.355,0.355,0.355,0.355,0.463
33,0.331,0.353,0.353,0.354,0.353,0.459
34,0.329,0.352,0.352,0.352,0.351,0.454
35,0.327,0.350,0.350,0.351,0.350,0.449
36,0.325,0.349,0.349,0.349,0.348,0.444
37,0.323,0.347,0.347,0.347,0.347,0.440
38,0.322,0.345,0.345,0.346,0.345,0.435
39,0.320,0.344,0.344,0.344,0.343,0.430
40,0.319,0.342,0.342,0.343,0.342,0.426
41,0.318,0.340,0.340,0.341,0.340,0.421
42,0.317,0.339,0.339,0.339,0.339,0.417
43,0.316,0.337,0.337,0.338,0.337,0.413
44,0.315,0.336,0.336,0.336,0.336,0.409
45,0.314,0.334,0.334,0.335,0.334,0.405
46,0.313,0.333,0.333,0.333,0.333,0.402
47,0.312,0.331,0.331,0.332,0.331,0.398
48,0.311,0.330,0.330,0.331,0.330,0.395
49,0.311,0.329,0.329,0.329,0.329,0.391
50,0.310,0.328,0.328,0.328,0.327,0.388
51,0.310,0.326,0.326,0.327,0.326,0.385
52,0.309,0.325,0.325,0.326,0.325,0.382
53,0.309,0.324,0.324,0.325,0.324,0.379
54,0.308,0.323,0.323,0.323,0.323,0.377
55,0.308,0.322,0.322,0.322,0.322,0.374
56,0.308,0.321,0.321,0.321,0.321,0.371
57,0.307,0.320,0.320,0.321,0.320,0.369
58,0.307,0.319,0.319,0.320,0.319,0.367
59,0.307,0.318,0.318,0.319,0.318,0.365
60,0.307,0.318,0.318,0.318,0.318,0.362
61,0.307,0.317,0.317,0.317,0.317,0.360
62,0.307,0.316,0.316,0.317,0.316,0.359
63,0.307,0.316,0.316,0.316,0.316,0.357
64,0.306,0.315,0.315,0.315,0.315,0.355
65,0.306,0.314,0.314,0.315,0.314,0.353
66,0.306,0.314,0.314,0.314,0.314,0.352
67,0.306,0.313,0.313,0.314,0.313,0.350
68,0.306,0.313,0.313,0.313,0.313,0.349
69,0.306,0.312,0.312,0.313,0.312,0.347
70,0.306,0.312,0.312,0.312,0.312,0.346
71,0.307,0.312,0.312,0.312,0.312,0.345
72,0.307,0.311,0.311,0.311,0.311,0.344
73,0.307,0.311,0.311,0.311,0.311,0.343
74,0.307,0.311,0.311,0.311,0.311,0.342
75,0.307,0.310,0.310,0.311,0.310,0.341
76,0.307,0.310,0.310,0.310,0.310,0.340
77,0.307,0.310,0.310,0.310,0.310,0.339
78,0.307,0.310,0.310,0.310,0.310,0.338
79,0.307,0.310,0.310,0.310,0.310,0.337
80,0.308,0.309,0.309,0.310,0.309,0.336
81,0.308,0.309,0.309,0.309,0.309,0.336
82,0.308,0.309,0.309,0.309,0.309,0.335
83,0.308,0.309,0.309,0.309,0.309,0.334
84,0.308,0.309,0.309,0.309,0.309,0.334
85,0.309,0.309,0.309,0.309,0.309,0.333
86,0.309,0.309,0.309,0.309,0.309,0.333
87,0.309,0.309,0.309,0.309,0.309,0.332
88,0.309,0.309,0.309,0.309,0.309,0.332
89,0.309,0.309,0.309,0.309,0.309,0.331
90,0.310,0.309,0.309,0.309,0.309,0.331
91,0.310,0.309,0.309,0.309,0.309,0.330
92,0.310,0.309,0.309,0.309,0.309,0.330
93,0.310,0.309,0.309,0.309,0.309,0.330
94,0.310,0.309,0.309,0.309,0.309,0.329
95,0.311,0.309,0.309,0.309,0.309,0.329
96,0.311,0.309,0.309,0.309,0.309,0.329
97,0.311,0.310,0.310,0.309,0.310,0.329
98,0.311,0.310,0.310,0.310,0.310,0.328
99,0.311,0.310,0.310,0.310,0.310,0.328
100,0.312,0.310,0.310,0.310,0.310,0.328
