Time(min),Bolus(mg),Continuous(mg/kg/hr),Cp(ug/mL),Ce(ug/mL)
175,0.0,0.00,0.124,0.130
176,0.0,0.00,0.122,0.130
177,0.0,0.00,0.121,0.130
178,0.0,0.00,0.119,0.130
179,0.0,0.00,0.118,0.130
180,0.0,0.00,0.117,0.130
181,0.0,0.00,0.115,0.130
182,0.0,0.00,0.114,0.130
183,0.0,0.00,0.113,0.130
184,0.0,0.00,0.112,0.130
185,0.0,0.00,0.110,0.130
186,0.0,0.00,0.109,0.130
187,0.0,0.00,0.108,0.130
188,0.0,0.00,0.107,0.130
189,0.0,0.00,0.106,0.130
190,0.0,0.00,0.104,0.130
191,0.0,0.00,0.103,0.130
192,0.0,0.00,0.102,0.130
193,0.0,0.00,0.101,0.130
194,0.0,0.00,0.100,0.130
195,0.0,0.00,0.099,0.130
196,0.0,0.00,0.098,0.130
197,0.0,0.00,0.097,0.130
198,0.0,0.00,0.096,0.130
199,0.0,0.00,0.095,0.130
200,0.0,0.00,0.094,0.130
201,0.0,0.00,0.093,0.130
202,0.0,0.00,0.092,0.129
203,0.0,0.00,0.091,0.129
204,0.0,0.00,0.090,0.129
205,0.0,0.00,0.089,0.129
206,0.0,0.00,0.088,0.129
207,0.0,0.00,0.087,0.129
208,0.0,0.00,0.086,0.129
209,0.0,0.00,0.085,0.129
210,0.0,0.00,0.084,0.129
